source,title,url,category,dotw,year,month,day,words,links,imgs,tweet_time,retweets,local_tweet_time,offset_hours
infosthetics,"Augmented Trolley Handle Conveys Food Miles Information while Shopping",http://infosthetics.com/archives/2012/04/augmented_trolley_handle_conveys_food_miles_information_while_shopping.html,infographic,Monday,2012,04,16,270,4,1,2012-04-16 09:36:27 UTC,3,2012-04-16 11:36:27 +0200,2
infosthetics,"The World Mapped According to Wikipedia Articles in 7 Different Languages",http://infosthetics.com/archives/2012/04/the_world_mapped_according_to_wikipedia_articles_in_7_different_languages.html,collection,Tuesday,2012,04,17,139,3,1,2012-04-17 18:31:21 UTC,3,2012-04-17 20:31:21 +0200,2
infosthetics,"Global Migration Patterns: the Flows of People to and from Countries",http://infosthetics.com/archives/2012/04/global_migration_patterns_the_flows_of_people_to_and_from_countries.html,collection,Wednesday,2012,04,18,282,8,1,2012-04-18 18:59:56 UTC,6,2012-04-18 20:59:56 +0200,2
infosthetics,"Representing the First 4,000,000 Decimals of Pi in a Single Image",http://infosthetics.com/archives/2012/04/representing_the_first_4000000_decimals_of_pi_in_a_single_image.html,aesthetic,Tuesday,2012,04,24,105,3,1,2012-04-24 18:12:12 UTC,11,2012-04-24 20:12:12 +0200,2
infosthetics,"Neighborhood Visualizer: Revealing Material and Energy Use in Cities",http://infosthetics.com/archives/2012/04/neighborhood_visualizer_revealing_material_and_energy_use_in_cities.html,architecture,Tuesday,2012,04,24,155,8,1,2012-04-24 10:10:22 UTC,9,2012-04-24 12:10:22 +0200,2
infosthetics,"Color Forecast: What Colors are People Wearing in the Street Today?",http://infosthetics.com/archives/2012/04/color_forecast_what_colors_are_people_wearing_in_the_street_today.html,architecture,Wednesday,2012,04,25,123,4,1,2012-04-25 10:18:21 UTC,3,2012-04-25 12:18:21 +0200,2
infosthetics,"City Dashboard: Aggregating All Spatial Data for Cities in the UK",http://infosthetics.com/archives/2012/04/city_dashboard_aggregating_all_spatial_data_for_cities_in_the_uk.html,architecture,Thursday,2012,04,26,139,6,1,2012-04-26 17:59:11 UTC,1,2012-04-26 19:59:11 +0200,2
infosthetics,"Movement in Manhattan: Mapping the Speed and Direction of Twitter Users",http://infosthetics.com/archives/2012/04/movement_in_manhattan_mapping_the_speed_and_direction_of_twitter_users.html,architecture,Friday,2012,04,27,174,3,1,2012-04-27 17:27:54 UTC,9,2012-04-27 19:27:54 +0200,2
infosthetics,"High Resolution Movie Reveals the Infrastructure of Humans on Earth",http://infosthetics.com/archives/2012/04/high_resolution_movie_reveals_the_infrastructure_of_humans_on_earth.html,aesthetic,Monday,2012,04,30,108,4,1,2012-04-30 18:53:58 UTC,8,2012-04-30 20:53:58 +0200,2
infosthetics,"US Senate Agreement Groups: How US Senators Have Agreed over Time",http://infosthetics.com/archives/2012/04/us_senate_agreement_groups_how_us_senators_have_agreed_over_time.html,infographic,Monday,2012,04,30,169,1,1,2012-04-30 18:17:29 UTC,1,2012-04-30 20:17:29 +0200,2
infosthetics,"List of Hand-Picked and Recommended Data Visualization Tools",http://infosthetics.com/archives/2012/05/hand_picked_list_of_recommended_data_visualization_tools.html,infographic,Monday,2012,05,07,135,2,1,,,,
infosthetics,"The Iranian Internet Repression Expressed in Infographics",http://infosthetics.com/archives/2012/05/the_iranian_internet_repression_expressed_in_infographics.html,aesthetic,Wednesday,2012,05,09,90,2,1,2012-05-09 20:18:49 UTC,5,2012-05-09 22:18:49 +0200,2
infosthetics,"Easel.ly Debutes Online Editor of Infographics",http://infosthetics.com/archives/2012/05/easelly_debutes_online_editor_of_infographics.html,infographic,Thursday,2012,05,10,160,1,1,,,,
infosthetics,"FatFonts: New Font Links Value of a Number to Amount of Pixels Shown",http://infosthetics.com/archives/2012/05/fatfonts_new_font_links_value_of_a_number_to_amount_of_pixels.html,aesthetic,Friday,2012,05,11,127,9,1,2012-05-11 12:54:01 UTC,5,2012-05-11 14:54:01 +0200,2
infosthetics,"Venngage: And Yet Another Online Infographics Editor",http://infosthetics.com/archives/2012/05/venngage_and_yet_another_online_infographics_editor.html,infographic,Tuesday,2012,05,15,185,5,1,2012-05-15 20:14:47 UTC,2,2012-05-15 22:14:47 +0200,2
infosthetics,"The Historical Evolution of Europe's Borders",http://infosthetics.com/archives/2012/05/the_historical_evolution_of_europes_borders.html,infographic,Tuesday,2012,05,15,74,4,1,2012-05-15 18:40:43 UTC,10,2012-05-15 20:40:43 +0200,2
infosthetics,"infogr.am: Another Online Editor of Interactive Infographics",http://infosthetics.com/archives/2012/05/infogram_another_online_editor_of_interactive_infographics.html,infographic,Tuesday,2012,05,15,192,5,1,2012-05-15 19:31:36 UTC,0,2012-05-15 21:31:36 +0200,2
infosthetics,"Hans Rosling's Shortest Talk Ever",http://infosthetics.com/archives/2012/05/hans_roslings_shortest_talk_ever.html,infographic,Monday,2012,05,21,162,9,1,2012-05-21 19:33:05 UTC,8,2012-05-21 21:33:05 +0200,2
infosthetics,"The Voting Patterns of the Eurovision Song Contest in the last 10 Years",http://infosthetics.com/archives/2012/05/the_voting_patterns_of_the_eurovision_song_contest_in_the_last_10_years.html,collection,Tuesday,2012,05,22,195,4,1,2012-05-22 13:33:34 UTC,1,2012-05-22 15:33:34 +0200,2
infosthetics,"The Power of Networks: Manuel Lima's Talk... Sketched and Animated",http://infosthetics.com/archives/2012/05/the_power_of_networks_manuel_limas_talk_sketched_animated.html,art,Wednesday,2012,05,23,121,5,1,2012-05-23 19:14:01 UTC,5,2012-05-23 21:14:01 +0200,2
infosthetics,"ThreadWatch: Tracking and Visualizing the Use of Software Applications",http://infosthetics.com/archives/2012/05/threadwatch_tracking_and_visualizing_the_use_of_software_applications.html,infographic,Wednesday,2012,05,23,124,5,1,2012-05-23 18:36:17 UTC,1,2012-05-23 20:36:17 +0200,2
infosthetics,"The Economist Videographics: Presidential Race in Narrated Data Graphics",http://infosthetics.com/archives/2012/05/americas_presidential_race_in_narrated_data_graphics.html,infographic,Thursday,2012,05,24,135,8,1,2012-05-24 18:58:03 UTC,2,2012-05-24 20:58:03 +0200,2
infosthetics,"Trains of Data: Visualizing France's High Speed Railway Network",http://infosthetics.com/archives/2012/06/trains_of_data_visualizing_frances_high_speed_railway_network.html,infographic,Monday,2012,06,11,178,2,1,2012-06-11 09:38:36 UTC,8,2012-06-11 11:38:36 +0200,2
infosthetics,"FoodMood: Measuring Global Food Sentiments via Twitter",http://infosthetics.com/archives/2012/06/foodmood_measuring_global_food_sentiment_through_analyzing_tweets.html,infographic,Monday,2012,06,11,138,5,1,2012-06-11 14:29:10 UTC,2,2012-06-11 16:29:10 +0200,2
infosthetics,"Network Medicine: Using Visualization to Decode Complex Diseases",http://infosthetics.com/archives/2012/06/network_medicin_using_visualization_to_decode_complex_diseases.html,collection,Tuesday,2012,06,12,150,4,1,,,,
infosthetics,"Exploding NBA Basketball Shot Heat Map Analysis",http://infosthetics.com/archives/2012/06/exploding_nba_basketball_shot_heat_map_analysis.html,infographic,Tuesday,2012,06,12,155,10,1,2012-06-12 13:24:51 UTC,6,2012-06-12 15:24:51 +0200,2
infosthetics,"A Few Hours of Joy at Eyeo",http://infosthetics.com/archives/2012/06/a_few_hours_of_joy_at_eyeo.html,art,Monday,2012,06,18,501,12,3,2012-06-18 19:09:52 UTC,6,2012-06-18 21:09:52 +0200,2
infosthetics,"The Statistics behind the US Civil War in Interactive Infographics",http://infosthetics.com/archives/2012/06/the_statistics_behind_the_us_civil_war_in_interactive_infographics.html,infographic,Tuesday,2012,06,19,199,4,1,2012-06-19 14:20:46 UTC,3,2012-06-19 16:20:46 +0200,2
infosthetics,"NICT Daedalus: 3D Real-Time Cyber-Attack Alert Visualization",http://infosthetics.com/archives/2012/06/nict_daedalus_3d_real-time_cyber-attack_alert_visualization.html,aesthetic,Wednesday,2012,06,20,182,4,1,2012-06-20 19:05:09 UTC,7,2012-06-20 21:05:09 +0200,2
infosthetics,"America Revealed: Cool CGI-Driven Maps of GPS Data",http://infosthetics.com/archives/2012/06/america_revealed_cool_cgi-driven_visualisation_of_gps_data.html,collection,Wednesday,2012,06,20,171,4,1,2012-06-20 15:40:56 UTC,2,2012-06-20 17:40:56 +0200,2
infosthetics,"Silenc: Highlighting the Silent Letters in Danish, English and French",http://infosthetics.com/archives/2012/06/silenc_highlighting_the_silent_letters_in_danish_english_and_french.html,aesthetic,Tuesday,2012,06,26,175,5,1,2012-06-26 21:00:53 UTC,4,2012-06-26 23:00:53 +0200,2
infosthetics,"Revealing the Impact of Energy Technology on Global CO2 Emissions",http://infosthetics.com/archives/2012/06/revealing_the_impact_of_energy_technology_on_global_co2_emissions.html,infographic,Tuesday,2012,06,26,192,3,1,2012-06-26 21:28:52 UTC,7,2012-06-26 23:28:52 +0200,2
infosthetics,"Census Explorer: Interactively Analyze the 2011 Australian Census Data",http://infosthetics.com/archives/2012/06/census_explorer_interactively_analyze_2011_australian_census_data.html,collection,Thursday,2012,06,28,131,3,1,2012-06-28 19:51:35 UTC,2,2012-06-28 21:51:35 +0200,2
infosthetics,"Station Maps: Browser-Based 3D Maps of the London Underground",http://infosthetics.com/archives/2012/06/station_maps_browser-based_3d_maps_of_the_london_underground.html,interface,Thursday,2012,06,28,61,1,1,2012-06-28 20:21:55 UTC,2,2012-06-28 22:21:55 +0200,2
infosthetics,"Twitter Activity during the 2012 European Football Tournament",http://infosthetics.com/archives/2012/07/twitter_activity_during_the_2012_european_football_tournament.html,infographic,Tuesday,2012,07,03,92,7,1,2012-07-03 19:09:18 UTC,6,2012-07-03 21:09:18 +0200,2
infosthetics,"Hamburger Timetable: Train Waiting Times as McDonalds Items to Eat",http://infosthetics.com/archives/2012/07/hamburger_timetable_train_waiting_times_as_mcdonalds_items_to_eat.html,ambient,Wednesday,2012,07,04,120,1,1,2012-07-04 18:43:25 UTC,1,2012-07-04 20:43:25 +0200,2
infosthetics,"What is in the Data? The Higgs Boson Explained as Live Infographics",http://infosthetics.com/archives/2012/07/what_is_in_the_data_the_higgs_boson_explained_as_live_infographics.html,infographic,Wednesday,2012,07,04,115,4,1,2012-07-04 19:06:06 UTC,14,2012-07-04 21:06:06 +0200,2
infosthetics,"Come to your Census: a Projection Mapping of Australian Census Data",http://infosthetics.com/archives/2012/07/come_to_your_census_projection_mapping_australian_census_data.html,architecture,Monday,2012,07,09,128,3,1,2012-07-09 09:24:18 UTC,0,2012-07-09 11:24:18 +0200,2
infosthetics,"blink(1): USB RBG Light Functions as an Ambient Display",http://infosthetics.com/archives/2012/07/blink1_ambient_display_through_a_usb_rbg_light.html,ambient,Tuesday,2012,07,10,148,2,1,,,,
infosthetics,"WikiWeb: iPad Wikipedia Reader Visualizes Connections between Articles",http://infosthetics.com/archives/2012/07/wikiweb_ipad_wikipedia_reader_visualizes_connections_between_articles.html,collection,Thursday,2012,07,12,134,4,1,2012-07-12 09:34:27 UTC,3,2012-07-12 11:34:27 +0200,2
infosthetics,"On the Pattern of Primes",http://infosthetics.com/archives/2012/07/on_the_pattern_of_primes.html,aesthetic,Monday,2012,07,23,109,5,1,,,,
infosthetics,"Dyslexic Notation",http://infosthetics.com/archives/2012/07/dyslexic_notation.html,guest blog,Thursday,2012,07,26,118,4,1,,,,
infosthetics,"Visualising the Emotional Response to LONDON 2012",http://infosthetics.com/archives/2012/07/visualising_the_emotional_response_to_london_2012.html,aesthetic,Friday,2012,07,27,120,6,1,2012-07-27 20:39:58 UTC,3,2012-07-27 22:39:58 +0200,2
infosthetics,"Vizify's New Infographical Bio",http://infosthetics.com/archives/2012/07/vizifys_new_infographical_bio.html,guest blog,Friday,2012,07,27,89,3,1,,,,
infosthetics,"The Rising of Olympic Mountains",http://infosthetics.com/archives/2012/07/the_rising_of_olympic_mountains.html,guest blog,Monday,2012,07,30,146,8,1,,,,
infosthetics,"Racing Against History",http://infosthetics.com/archives/2012/08/racing_against_history.html,guest blog,Thursday,2012,08,02,123,1,1,,,,
infosthetics,"How Long World Record Sports Achievements are Held",http://infosthetics.com/archives/2012/08/how_long_world_record_sports_achievements_are_held.html,collection,Monday,2012,08,06,106,2,1,2012-08-06 15:04:58 UTC,2,2012-08-06 17:04:58 +0200,2
infosthetics,"Meter Objects: Embracing the Act of Measuring",http://infosthetics.com/archives/2012/08/meter_objects_embracing_the_act_of_measuring.html,aesthetic,Tuesday,2012,08,07,274,4,1,2012-08-07 19:43:11 UTC,2,2012-08-07 21:43:11 +0200,2
infosthetics,"Google Visualizes Global Transfers of Small Arms and Ammunition",http://infosthetics.com/archives/2012/08/google_visualizes_global_transfers_of_small_arms_and_ammunition.html,collection,Monday,2012,08,27,139,2,1,2012-08-27 18:49:09 UTC,9,2012-08-27 20:49:09 +0200,2
infosthetics,"The Internet Map: Revealing the Hidden Structure of the Network",http://infosthetics.com/archives/2012/08/the_internet_map_revealing_the_hidden_structure_of_the_network.html,collection,Tuesday,2012,08,28,110,2,1,2012-08-28 18:46:57 UTC,9,2012-08-28 20:46:57 +0200,2
infosthetics,"Explore the Words Spoken at the Republican Convention",http://infosthetics.com/archives/2012/08/explore_the_words_spoken_at_the_republican_convention.html,infographic,Wednesday,2012,08,29,69,1,1,2012-08-29 15:26:05 UTC,3,2012-08-29 17:26:05 +0200,2
infosthetics,"Microsonic Landscapes: Visualizing Music in Physical Form",http://infosthetics.com/archives/2012/08/microsonic_landscapes_visualizing_music_in_physical_form.html,aesthetic,Thursday,2012,08,30,76,9,1,2012-08-30 19:08:36 UTC,1,2012-08-30 21:08:36 +0200,2
infosthetics,"WolframAlpha Launches Personal Analytics for Facebook",http://infosthetics.com/archives/2012/09/wolframalpha_personal_analytics_for_facebook.html,open data,Saturday,2012,09,01,153,3,1,,,,
infosthetics,"Wood Changes: How Does Climate Influence Moisture Content in Wood?",http://infosthetics.com/archives/2012/09/wood_changes_how_does_climate_influence_moisture_content_in_wood.html,architecture,Monday,2012,09,03,146,3,1,2012-09-03 19:03:28 UTC,4,2012-09-03 21:03:28 +0200,2
infosthetics,"The Drake Equation as Infographics: Do Extraterrestrials Exist?",http://infosthetics.com/archives/2012/09/the_drake_equation_as_infographics_do_extraterrestrials_exist.html,infographic,Wednesday,2012,09,05,163,7,1,2012-09-05 18:33:27 UTC,3,2012-09-05 20:33:27 +0200,2
